,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum
40504,Hillsborough County Sherriffs Office,Hillsborough County Sheriffs Office,1501 North Faulkenburg Rd,Tampa,FL,33619.0,hillsborough county sherriffs office,33619,1501
40532,Savanna Lawn Maintenance & Irrigation Inc.,"Savanna Lawn Maintenance & Irrigation, Inc.",5751 Reinke Drive,Crestview,FL,32539.0,savanna lawn maintenance & irrigation inc,32539,5751
40547,Mr. Electric,"Fast and Free Industries, Inc.",1816 West 27th Street,Panama City,FL,32405.0,mr electric,32405,1816
40562,Hosteria Romana,"Hosteria Romana, Inc.",435 Espanola Way #B,Miami Beach,FL,33139.0,hosteria romana,33139,435
40587,The Humane Society of Northeast Florida,"The Humane Society of Northeast Florida, Inc.",112 Norma Street,Hollister,FL,32147.0,the humane society of northeast florida,32147,112
40602,"La Bodeguita Miami, Inc.","LA BODEGUITA MIAMI, INC.","3130   S,W, Coral Way",Miami,FL,33135.0,la bodeguita miami inc,33135,3130
40632,Reyes Carpet Inc,Reyes Carpet Inc,741 South East One,Hialeah,FL,33010.0,reyes carpet inc,33010,741
40653,Marion Juvenile Correctional Facility,"Youth Services International, Inc.",10420 NW Gainesville,Ocala,FL,34482.0,marion juvenile correctional facility,34482,10420
40654,Cornerstone Assembly of God/Christian Academy,Cornerstone Assembly of God/Christian Academy,1045 NE 6th Blvd,Williston,FL,32696.0,cornerstone assembly of god/christian academy,32696,1045
40676,BERAJA MEDICAL INSTITUTE,BERAJA MEDICAL INSTITUTE INC.,"2550 Douglas Rd., Sutie 300",Miami,FL,33134.0,beraja medical institute,33134,2550
40700,Ocean View Manor,"A & H of Daytona, Inc.",624 South Atlantic Ave,Daytona Beach,FL,32118.0,ocean view manor,32118,624
40726,Round Robin,"C-Nan, Inc.","10601 San Jose Boulevard, Suite 215",Jacksonville,FL,32257.0,round robin,32257,10601
40727,Jiffy Lube,"South Lubes, Inc.",4821 Blanding Boulevard,Jacksonville,FL,32210.0,jiffy lube,32210,4821
40748,Radiant Food Mart,Coffee & Gas to Go LLC,6512 Gall Blvd.,Zephyrhills,FL,33541.0,radiant food mart,33541,6512
40753,Nesco Services Company,Nesco Resource,14310 Carlson Circle,Tampa,FL,33626.0,nesco services company,33626,14310
40813,American Pie Pizza,Hospitality Innovations LLC,"7210 U. S. Highway 19, North",Pinellas Park,FL,33781.0,american pie pizza,33781,7210
40814,Marcos Tires,"Marcos Tires, Inc.",2615  Hillsborough Ave,Tampa,FL,33614.0,marcos tires,33614,2615
40815,"Mi Tierra Caliente, LLC","Mi Tierra Caliente, LLC",2105 SW Highway 484,Ocala,FL,34473.0,mi tierra caliente llc,34473,2105
40816,"Kissimmee Produce, Inc.",Kissimmee Produce Inc,1421 North John Young Parkway,Kissimmee,FL,34741.0,kissimmee produce inc,34741,1421
40817,Orban Food Mart/Shell Gas Station,Orban Food Mart Inc.,1166 S. Tamiami Trail,Osprey,FL,34229.0,orban food mart/shell gas station,34229,1166
40820,"OHM Hotel and Resorts, LLC","OHM Hotel and Resorts, LLC",2337 U. S. Highway 19,Holiday,FL,34691.0,ohm hotel and resorts llc,34691,2337
40853,The Leamington Hotel,"Standard Management Services, Inc.","1205 Lincoln Road, #211",Miami,FL,33141.0,the leamington hotel,33141,1205
40865,Quality Removal Inc.,Quality removal Inc,1800 SW 1st Street,Miami,FL,33135.0,quality removal inc,33135,1800
40889,"Safe And Secure Respite Care, LLC","Safe and Secure Respite Care, LLC",535 Stahlman Ave,Destin,FL,32541.0,safe and secure respite care llc,32541,535
40910,NTA,"National Technologies Associates, Inc","1532 Kingsley Avenue, Suite 215",Orange Park,FL,32073.0,nta,32073,1532
40921,"Wal-Mart Stores, Inc.","Wal-Mart Stores, Inc.",14500 US Highway 301 S,Starke,FL,32091.0,wal-mart stores inc,32091,14500
40924,Ellingtons Jazz Bar & Restaurant,"Elington's Restaurant Group, LLC",1244 Periwinkle Way,Sanibel,FL,33957.0,ellingtons jazz bar & restaurant,33957,1244
40980,Greenlight Technologies,"Premier Industries, LLC","1471 SW 30th Avenue, Buillding # 8",Deerfield Beach,FL,33442.0,greenlight technologies,33442,1471
41000,"OPERATION PAR, INC.","OPERATION PAR, INC.",6655 66th Street North,Pinellas Park,FL,33781.0,operation par inc,33781,6655
41001,"X-Treme Coatings, Inc","X-Treme Coatings, Inc",327 43rd St Blvd W,Palmetto,FL,34221.0,x-treme coatings inc,34221,327
41018,The Palace Saloon,"The Palace Saloon, Inc.",1303 Jackson Bluff RD,Tallahassee,FL,32303.0,the palace saloon,32303,1303
41020,"Diego E. Pernudi M.D. & Associates, P.A.","Diego E. Pernudi M.D. & Associates, P.A.",8260 West Flagler Street,Miami,FL,33144.0,diego e pernudi md & associates pa,33144,8260
41026,Fairfield Inn & Suites by Marriott Miami Airp,"MIA Hospitality, LLC",4101 NW 11 Street,Miami,FL,33126.0,fairfield inn & suites by marriott miami airp,33126,4101
41029,"Prime Hotels USA, LLC","Prime Hotels USA, LLC",1238 Collins Ave.,Miami Beach,FL,33139.0,prime hotels usa llc,33139,1238
41042,HI-TEC Associates Inc.,HI-TEC Associates Inc.,5302 South Florida Ave. St. 202,Lakeland,FL,33813.0,hi-tec associates inc,33813,5302
41057,Matsuri Japanese Restaurant,"Matsuri, Inc.",5759 Bird Road,Miami,FL,33155.0,matsuri japanese restaurant,33155,5759
41070,"Diamond Oil, LLC","Diamond Oil, LLC",1820 SE 18th Ave. #3,Ocala,FL,34471.0,diamond oil llc,34471,1820
41094,Best Care Medical Plan,"Best Care Medical Plan, Inc.","8880 NW 20 Street, Suite J",Miami,FL,33172.0,best care medical plan,33172,8880
41101,Falcon Contractors,"Falcon Contractors, Inc.",3539 Plover Ave,Naples,FL,34117.0,falcon contractors,34117,3539
41134,The Carrie Brazer Center for Autism,"The Technology Foundation, Inc.",7425 SW 42 Street,Miami,FL,33155.0,the carrie brazer center for autism,33155,7425
41135,Maytin Engineering Corp.,Maytin Engineering Corp.,13900 NW 112 Avenue,Hialeah,FL,33018.0,maytin engineering corp,33018,13900
41149,Mary's House,"Mary's House, Inc.",5895 NW 12th Avenue,Miami,FL,33127.0,marys house,33127,5895
41150,Consumer Supports Association I,"Consumer Supports Associations, Inc.",2323 NW 85th Street,Miami,FL,33147.0,consumer supports association i,33147,2323
41154,PINCH-A-PENNY #35,"BerVin Enterprises, Inc.",727 Norhlake Blvd.,North Palm Beach,FL,33408.0,pinch-a-penny #35,33408,727
41159,R & J Auto Sales,"R & J Auto Sales of Tampa Bay, Inc.",5505 N. Florida Avenue,Tampa,FL,33604.0,r & j auto sales,33604,5505
41181,"Bari National Builder, Inc.",Antonio Deligio,"318 NW 23rd St, Unit A",Miami,FL,33127.0,bari national builder inc,33127,318
41197,Florida Department of Education,Florida Department of Education,1400 West Commercial Blvd.,Fort Lauderdale,FL,33309.0,florida department of education,33309,1400
41198,Mellow Mushroom,"BTC Holdings, LLC",1641 Pensacola Street,Tallahassee,FL,32304.0,mellow mushroom,32304,1641
41207,Bimax Hairoine,Mantin Ng dba Bimax Hairoine,"Mantin Ng, Propreitor",Plantation,FL,33317.0,bimax hairoine,33317,"Mantin Ng, Propreitor"
41211,North Florida Cellular,Southeast Cellular LLC,1725 Capital Circle NE,Tallahassee,FL,32308.0,north florida cellular,32308,1725
41212,Bradfordville Animal Hospital,"Bradfordville Animal Hospital, LLC",6714 Thomasville Road,Tallahassee,FL,32312.0,bradfordville animal hospital,32312,6714
41242,The Terrace of Daytona Beach,Terrace of Daytona Beach LLC,1704 Huntington Villiage Circle,Daytona Beach,FL,32118.0,the terrace of daytona beach,32118,1704
41250,Emerald Coast Restaurant,"Emerald Coast Restaurant Aventura, LTD.",16850 Collins Ave,Sunny Isles Beach,FL,33160.0,emerald coast restaurant,33160,16850
41252,China Apple Buffet,Zhang Yang Fuji Inc.,1635 SW 107th Ave,Miami,FL,33165.0,china apple buffet,33165,1635
41256,Hong Kong Buffet,Hong Kong Gourmet Inc.,1500 W. 49th St,Hialeah,FL,33012.0,hong kong buffet,33012,1500
41261,DGP&S,"DGP&S Construction, Inc.",4417 N Clark Ave,Tampa,FL,33617.0,dgp&s,33617,4417
41271,Heart of Florida Youth Ranch,"Heart of Florida Youth Ranch, Inc.",15833  No. US 301,Citra,FL,32113.0,heart of florida youth ranch,32113,15833
41272,New China Buffet,New China Buffet of N. Miami,940 N. Miami Beach Blvd,North Miami Beach,FL,33162.0,new china buffet,33162,940
41274,Luckey Eye Care,"Robert E. Luckey O.D, PA",27340 Cashford Drive,Wesley Chapel,FL,33544.0,luckey eye care,33544,27340
41309,Kane's Furniture,Kane Furniture Corporation,4685 US Hwy 98 N,Lakeland,FL,33809.0,kanes furniture,33809,4685
41310,Julian's Auto Showcase,Julian's Auto Showcase,6901 US Hwy 19,New Port Richey,FL,34652.0,julians auto showcase,34652,6901
41311,Scuttles New England Seafood,Scuttles New England Seafood,343 West Central Avenue,Lake Wales,FL,33853.0,scuttles new england seafood,33853,343
41313,"Laumar Roofing Service, Inc.","Laumar Service Roofing, Inc.",800 SW 21st Terrace,Fort Lauderdale,FL,33312.0,laumar roofing service inc,33312,800
41314,Workers Temporary Staffing Inc,Workers Temporary Staffing Inc,5050 W Lemon Street,Tampa,FL,33609.0,workers temporary staffing inc,33609,5050
41365,China Buffet,Huangs China Buffet Inc.,3800 W. 18th Ave,Hialeah,FL,33012.0,china buffet,33012,3800
41372,POC Buffet & Grill,POC Restaurant Inc.,1651 Bonaventure Blvd,Weston,FL,33326.0,poc buffet & grill,33326,1651
41373,"877-Cleanco, Inc.","877-Cleanco, Inc.",7108 Beracasa Way,Boca Raton,FL,33433.0,877-cleanco inc,33433,7108
41390,BHC,"Britton-Harr Contracting, LLC",14512 Perdido Key Dr.,Pensacola,FL,32507.0,bhc,32507,14512
41433,"Cotton Eyed Joe's, LLC","Cotton Eyed Joe's, LLC",96008 Wades Place,Fernandina Beach,FL,32034.0,cotton eyed joes llc,32034,96008
41451,Concepcion Construction Inc,Concepcion Construction Inc,9615 NW 1ST CT BUILDING 10  UNIT 104,Hollywood,FL,33024.0,concepcion construction inc,33024,9615
41461,"Regal Palm Resort, LLC","Regal Palm Resort, LLC",2700 Sand Mine Road,Davenport,FL,33897.0,regal palm resort llc,33897,2700
41462,"Alejandro Gonzalez, FLC","Alejandro Gonzalez, FLC",1021 Ringo Lane,Immokalee,FL,34142.0,alejandro gonzalez flc,34142,1021
41463,"High Hope Farms, LLC. AGER","High Hope Farms, LLC, AGER",121 Clark Street,Quincy,FL,32351.0,high hope farms llc ager,32351,121
41476,43rd Street Deli & Breakfast House,"Cakmis Enterprises, Inc.",4401 NW 25th Place #C,Gainesville,FL,32606.0,43rd street deli & breakfast house,32606,4401
41478,"Kforce, Inc.","K-Force, Inc.",1001 E. Palm Avenue,Tampa,FL,33605.0,kforce inc,33605,1001
41492,Stepp's Towing Service,Stepp's Towing Service,4214 W Cayuga,Tampa,FL,33614.0,stepps towing service,33614,4214
41503,"Pembrook Place ALF, Inc","Pembrook Place ALF, Inc",1623 Robin Hood Lane,Clearwater,FL,33764.0,pembrook place alf inc,33764,1623
41505,Burger King,Furman's Inc.,1663 Mound St,Sarasota,FL,34236.0,burger king,34236,1663
41506,Debt Settlement Law Group,"Debt Settlement Law Group, P.A.",13680 Wright Circle,Tampa,FL,33626.0,debt settlement law group,33626,13680
41507,"Mariner Choice, Inc.","Mariner Choice, Inc.",4275 Marina Boulevard,Spring Hill,FL,34609.0,mariner choice inc,34609,4275
41508,Big Ben Handyman Services,Big Ben Handyman Services,13194 US Highway 301 (S),Riverview,FL,33578.0,big ben handyman services,33578,13194
41523,RDL Logistics LLC,"RDL Logistics, LLC",86280 Gene Lasserre Blvd,Yulee,FL,32097.0,rdl logistics llc,32097,86280
41549,Toojay's Management Corporation,Toojay's Management Corporation,3654 Georgia Avenue,West Palm Beach,FL,33405.0,toojays management corporation,33405,3654
41551,Seaward Services,"Seaward Services, Inc.",7117 McElbey Road,Panama City,FL,32408.0,seaward services,32408,7117
41556,BP Stop N Go,"Shree Gatatrima, Inc",7111 W. Fairfield Drive,Pensacola,FL,32506.0,bp stop n go,32506,7111
41592,The Family Tree Concept I,"The Family Tree Concrept, Inc.",2913 NW 60th Street,Miami,FL,33147.0,the family tree concept i,33147,2913
41599,S & K Enterprises,"S&K Enterprises of North Florida, Inc.",HWY  267 North,Quincy,FL,32351.0,s & k enterprises,32351,HWY  267 North
41612,Gadsden Tomato Company,Gadsden Tomato Company,P.O. Box 1018,Quincy,FL,32353.0,gadsden tomato company,32353,1018
41629,Humane Society of Inverness,Humane Society of Inverness,7295 W County Rd 48,Bushnell,FL,33513.0,humane society of inverness,33513,7295
41630,University of South Florida - Health,"University Medical Service Association, Inc.",2 Tampa General Circle,Tampa,FL,33606.0,university of south florida - health,33606,2
41631,"MRF International, Inc. dbaPartners in Grimes","MRF International, Inc.",16635 Ashton Green Drive,Lutz,FL,33558.0,mrf international inc dbapartners in grimes,33558,16635
41632,E. C. Electrical Contractor,E. C. Electrical Contractor,5190 Commercial Way,Spring Hill,FL,34606.0,e c electrical contractor,34606,5190
41633,American Van Lines East,American Van Lines East,9507 North Trask Street,Tampa,FL,33624.0,american van lines east,33624,9507
41636,Holland Landscaping and Tree Service Inc,Holland Landscaping and Tree Service Inc,440 Shotgun Ln,Osprey,FL,34229.0,holland landscaping and tree service inc,34229,440
41638,Springhill Regional Hospital,"Hernando HMA, LLC.",10461 Quailty Dr,Spring Hill,FL,34608.0,springhill regional hospital,34608,10461
41656,"Emerald Point Enterprises, LLC",National Property Management Associates,200 Emerald Avenue,Lake Wales,FL,33853.0,emerald point enterprises llc,33853,200
41679,Yantra LLC,Yantra 119 LLC,119 Washigtom Ave,Miami Beach,FL,33139.0,yantra llc,33139,119
41695,"Southeast Abatement Services, Inc.","Southeast Abatement Services, Inc.",14584 66th Street North,Clearwater,FL,33764.0,southeast abatement services inc,33764,14584
41714,Lake Minneola Inn and Tiki Bar,Lake Minneola Inn and Tiki Bar,508 S Main St,Minneola,FL,34755.0,lake minneola inn and tiki bar,34755,508
41751,China Bay Buffet,Chang Sheng Enterprise Inc.,2402 N. University Dr,Pembroke Pines,FL,33024.0,china bay buffet,33024,2402
41753,Golden Corral,"Sunny Corral Management, LLC",9045 Pines Blvd,Pembroke Pines,FL,33024.0,golden corral,33024,9045
41758,Hair Cuttery,"Creative Hairdressers, Inc.",1370 Coral Ridge Drive,Coral Springs,FL,33071.0,hair cuttery,33071,1370
41760,Bayside Cooling,"Bayside Cooling, Inc.",4360 SE Commerce,Stuart,FL,34997.0,bayside cooling,34997,4360
41768,Pro Vision Marketing Services,Pro Vision Marketing Services Inc.,195 Wekiva Springs Road,Longwood,FL,32779.0,pro vision marketing services,32779,195
41774,Hometown Buffet,"Hometown Buffet, Inc.",1403 E Hallandale Beach Blvd,Hallandale,FL,33009.0,hometown buffet,33009,1403
41776,Hometown Buffet,"Buffets, Inc.",2310 South University Drive,Davie,FL,33324.0,hometown buffet,33324,2310
41785,"Dozier & Dozier Construction, Inc.","Dozier & Dozier Construction, Inc.",3932 NW 167 St,Opa Locka,FL,33054.0,dozier & dozier construction inc,33054,3932
41802,CicI's Pizza Buffet - Hialeah,Chente Enterprises II,"2885 West 68th St, Ste 1",Hialeah,FL,33018.0,cicis pizza buffet - hialeah,33018,2885
41807,CiCi's Pizza Buffet - Sunrise,A-E-O Inc of Dallas,8253 Sunset Strip,Sunrise,FL,33322.0,cicis pizza buffet - sunrise,33322,8253
41810,CiCi's Pizza Buffet - 49th St Hialeah,Chente Enterprises,"410 W. 49th St, Unit 107",Hialeah,FL,33012.0,cicis pizza buffet - 49th st hialeah,33012,410
41811,CiCi's Pizza Buffet - Flagler,JHR Group Enterprises Inc,9609 W. Flagler St,Miami,FL,33174.0,cicis pizza buffet - flagler,33174,9609
41818,King's Superbuffet Chinese Gourmet,"Yang's Brothers, Inc.",4270 Okeechobee Blvd,West Palm Beach,FL,33409.0,kings superbuffet chinese gourmet,33409,4270
41819,King Buffet Chinese Restaurant,"Xin Xin, Inc.",1800 Palm Beach Lakes Blvd,West Palm Beach,FL,33401.0,king buffet chinese restaurant,33401,1800
41821,New China Star Buffet,NEW CHINA STAR US 1 INC,103 US Highway 1,North Palm Beach,FL,33408.0,new china star buffet,33408,103
41822,Kingdom Buffet,"Kingdom Buffet of the Palm Beaches, Inc.",4335 Lake Worth Rd,Lake Worth,FL,33461.0,kingdom buffet,33461,4335
41826,Southern Dreamin Inc dba Prosessional Car Was,"Southern Dreaming, Inc.",490 Mary Esther Blvd.,Mary Esther,FL,32569.0,southern dreamin inc dba prosessional car was,32569,490
41841,"B & I Contractors, Inc","B & I Contractors, Inc",2701 Prince St,Fort Myers,FL,33916.0,b & i contractors inc,33916,2701
41842,"Jackson Therapy Partners, LLC","JACKSON THERAPY PARTNERS, LLC",11315 Corporate Blvd. Suite  #100,Orlando,FL,32817.0,jackson therapy partners llc,32817,11315
41866,Galuppi's on the Green,"PG's. on the Green, Inc.",1103 N Federal Hwy,Pompano Beach,FL,33062.0,galuppis on the green,33062,1103
41875,"Trulucks Seafood, Steak & Crab Restaurant","Trulucks Seafood, Steak & Crab Restaurant",698 4th Ave South,Naples,FL,34102.0,trulucks seafood steak & crab restaurant,34102,698
41879,Elase Medical Spas,Gentlelase Clinics LLC,"1210 S International Pkwy., Suite 174",Lake Mary,FL,32746.0,elase medical spas,32746,1210
41889,Fast Oil & Lube,"Holbdy Holdings, LLC",2991 Fowler St,Fort Myers,FL,33901.0,fast oil & lube,33901,2991
41915,Medicana Nursing & Rehab Center,"Sovereign Healthcare Holdings, LLC.",1710 Lake Worth Road,Lake Worth,FL,33460.0,medicana nursing & rehab center,33460,1710
41917,"Marco E. Hernandez, FLC",Marco E. Hernandez,1702 Wabasso Dr,West Palm Beach,FL,33409.0,marco e hernandez flc,33409,1702
41918,"Roman Reynoso, FLC","Roman Reynoso, FLC",3897 Hiawatha Ave,West Palm Beach,FL,33409.0,roman reynoso flc,33409,3897
41921,Harris Corp.,"Harris Roof Systems, Inc.",3701 E. 7th Ave.,Tampa,FL,33619.0,harris corp,33619,3701
41925,Opera Suites and Marina,Opera Tower LLC,1750 N. Bayshore Drive,Hialeah,FL,33015.0,opera suites and marina,33015,1750
41927,Creative Concrete,Creative Concrete,16912 Alderman Turner Rd,Wimauma,FL,33598.0,creative concrete,33598,16912
41930,Eden House,Eden House of Key West Inc,1015 Fleming Street,Key West,FL,33040.0,eden house,33040,1015
41934,"Ace Property Services, Inc.","Ace Property Services, Inc.",10871 SW 188th Street,Miami,FL,33157.0,ace property services inc,33157,10871
41937,"Liberty Oil of USA, Inc.",Liberty Oil of USA Inc,12602 49th Street North,Clearwater,FL,33762.0,liberty oil of usa inc,33762,12602
41958,Coaster Company of America,"COA, Inc.",10700 Enterprise Way,Miramar,FL,33025.0,coaster company of america,33025,10700
41960,"Schear, Corp.","Schear, Corp",5490 Lee St.,Lehigh Acres,FL,33971.0,schear corp,33971,5490
41965,Gold Coast Beverage Distributors,"Gold Coast Beverage Distributors, Inc.",10055 NW 12 Street,Doral,FL,33172.0,gold coast beverage distributors,33172,10055
41967,"A.J.L. Services, Inc.","A.J.L. Services, Inc.",8953   N  W   23rd     Street,Miami,FL,33172.0,ajl services inc,33172,8953
41974,American Eagle Airlines,"American Airlines, Inc.",P.O. Box 99670,Miami,FL,33299.0,american eagle airlines,33299,99670
41978,Check Assist,"ESM Enterprises, Inc.",10 East Texar,Pensacola,FL,32502.0,check assist,32502,10
41991,Boathouse Bar and Grill,"Boathouse Bar and Grill, LLC",9500 Marketplace Dr.,Fort Myers,FL,33912.0,boathouse bar and grill,33912,9500
42033,Big Tony's Pizza,"Joe Doughs Pizza Pros, Inc.",201 E Hinson Ave,Haines City,FL,33844.0,big tonys pizza,33844,201
42034,"St. Petersburg Seafood & Steak Buffet, Inc.","St. Petersburg Seafood & Steak Buffet, Inc.",8305 Bay Pines Blvd,Saint Petersburg,FL,33709.0,st petersburg seafood & steak buffet inc,33709,8305
42035,SGN Wireless,"SGN Wireless, LLC",1102 Hwy 41,Inverness,FL,34451.0,sgn wireless,34451,1102
42036,Rising Hill Farm,James Dimare Sales Inc.,2205 N.W. 110th Ave.,Ocala,FL,34482.0,rising hill farm,34482,2205
42040,A1C Construction Co,A1C Contruction Group Inc.,11770 SW 122nd Place,Miami,FL,33176.0,a1c construction co,33176,11770
42048,"Diversified Construction & Restoration, Inc.","Diversified Construction & Restoration, Inc.",12555 S.W. 130 Street,Miami,FL,33186.0,diversified construction & restoration inc,33186,12555
42060,El Floridita Restaurant Corp. (Westchester),El Floridita Restaurant Corp.,8399 SW 40th Street,Miami,FL,33155.0,el floridita restaurant corp (westchester),33155,8399
42075,Cash Kwik Winter Haven Inc.,Cash Kwik Winter Haven Inc.,1184 Havendale Blvd.,Winter Haven,FL,33881.0,cash kwik winter haven inc,33881,1184
42076,"Cash Kwik Riverview, Inc.","Cash Kwik Riverview, Inc.",7441 Hwy. 301 S.,Riverview,FL,33569.0,cash kwik riverview inc,33569,7441
42089,Panda Kitchen and Bath,PANDA KITCHEN & BATHEXPO CENTER OF NORTH MIAM,3250 NW 77th Ct,Miami,FL,33122.0,panda kitchen and bath,33122,3250
42092,"Renal Advantage, Inc.","Renal Advantage, Inc.",245 S. Courtney Parkway,Merritt Island,FL,32952.0,renal advantage inc,32952,245
42093,"Portales Restaurant Y Abarrotes # 1, Inc.","Portales Restaurant Y Abarrotes # 1, Inc.",11042 South U.S. Hwy 41,Gibsonton,FL,33534.0,portales restaurant y abarrotes # 1 inc,33534,11042
42120,Bridges of America,"Bridge of America-TheTurning Point Bridge,Inc",5110 W. 12th Street,Jacksonville,FL,32254.0,bridges of america,32254,5110
42122,Kehe Distributors LLC,"Kehe Distributors, Inc.",405 Golfway West Drive,Saint Augustine,FL,32095.0,kehe distributors llc,32095,405
42142,"Sacher, Zelman, Hartman, Paul, Beiley P.A.","Sacher, Zelman, Hartman, Paul, Beiley P.A.",1401 Brickell Avenue,Miami,FL,33131.0,sacher zelman hartman paul beiley pa,33131,1401
42186,J.S.A. International,"Mecca Enterprises, Inc.",1541 N. Powerline Road,Pompano Beach,FL,33069.0,jsa international,33069,1541
42206,Sarasota Memorial Health Care Center,Sarasota County Public Hospital District,1700 South Tamiami Trail,Sarasota,FL,34236.0,sarasota memorial health care center,34236,1700
42243,Kira Facilities Maintenance & Construction,"Kira, Inc.",3141 Commerce Parkway,Miramar,FL,33025.0,kira facilities maintenance & construction,33025,3141
42252,Physicians Independent Management Services,Physicians Independent Management Services In,5755 Hoover Boulevard,Tampa,FL,33634.0,physicians independent management services,33634,5755
42314,Black Box Technology,"Black Box Technology, Inc.","600 University Office Blvd., Suite 1B",Pensacola,FL,32504.0,black box technology,32504,600
42320,Chemo Transport LLC,Chemo Transport LLC,3550 NW 112th St,Miami,FL,33167.0,chemo transport llc,33167,3550
42332,Cici Pizza - SW 117th Ave Kendall,A & H Group Enterprises  Inc,1580  S. W. 117th Ave.,Miami,FL,33183.0,cici pizza - sw 117th ave kendall,33183,1580
42350,Bento Cafe,"BCArcher, LLC","3841 SW Archer Road, #D",Gainesville,FL,32608.0,bento cafe,32608,3841
42352,J.W. Marriott Marquis,"Met II Hotel, Inc.",255 Biscayne Boulevard Way,Miami,FL,33131.0,jw marriott marquis,33131,255
42357,"American Green Works, Inc.","American Green Works, Inc.","4025 Dow Road, Suite 2",Melbourne,FL,32934.0,american green works inc,32934,4025
42358,"Q-Pay, Inc.","Q-Pay, Inc.",16853 N.E. 2nd Ave,North Miami Beach,FL,33162.0,q-pay inc,33162,16853
42361,Crepe Maker at Sunset Place,"M.K. Group Enterprises, Inc.",5701 SW Sunset Drive K-104,Miami,FL,33143.0,crepe maker at sunset place,33143,5701
42363,DeLimin Cafe,"Miguel, LLC",14012 7th St,Dade City,FL,33525.0,delimin cafe,33525,14012
42367,Bry-ren James Painting & Waterproofing Inc,Bry-ren James Painting & Waterproofing Inc,2674 Heron Lane,Clearwater,FL,33762.0,bry-ren james painting & waterproofing inc,33762,2674
42383,Dana Enterprises,"Dana Enterprises, Incorporated",720 Duncan Ave,Kissimmee,FL,34744.0,dana enterprises,34744,720
42387,"David Gerald Construction, Inc.","David Gerald Construction, Inc.",13309 Winding Oak Court,Tampa,FL,33612.0,david gerald construction inc,33612,13309
42397,"Sunshine Structures, Inc","Sunshine Structures, Inc",5570 Lee St 12,Lehigh Acres,FL,33971.0,sunshine structures inc,33971,5570
42416,Little Bees Place for Kids,Barbara Walker,422 NW 3rd Avenue,Gainesville,FL,32601.0,little bees place for kids,32601,422
42440,Mansfield Industrial,"Mansfield Industrial, Inc.",1325 West Detroit Blvd,Pensacola,FL,32534.0,mansfield industrial,32534,1325
42469,U.S. Credit Solution LLC,"US Credit Solutions, LLC","6175 NW 153rd Street, #200",Hialeah,FL,33014.0,us credit solution llc,33014,6175
42477,"Ray's Electrical Supplies, Inc.","Ray's Electrical Supplies, Inc.",2023 Opa Locka Blvd,Miami,FL,33054.0,rays electrical supplies inc,33054,2023
42491,Tri-Area Electrical Construction,"Tri-Area Electrical Construction, Inc.",1110 NE Pine Island Road,Cape Coral,FL,33909.0,tri-area electrical construction,33909,1110
42506,Olga Elizabeth Miastra,Olga Elizabeth Miastra,1601 Hibiscus Ave,Winter Park,FL,32789.0,olga elizabeth miastra,32789,1601
42507,Abacus Business Solutions,Abacus Business Solutions Inc,7091 Grand National Dr Suite 104,Orlando,FL,32819.0,abacus business solutions,32819,7091
42565,Jimmy's Place,"Jimmy's Place, Inc.",510 NE 125 St.,Miami,FL,33161.0,jimmys place,33161,510
42590,Clock Family Restaurant,"Clock Family Restaurant, LLC",5317 Gall Blvd.,Zephyrhills,FL,33542.0,clock family restaurant,33542,5317
42595,"Bamboo Villas Assisted Living Facility, LLC","Bamboo Villas Assisted Living Facility, LLC",2730 W. WILDER AVE.,Tampa,FL,33614.0,bamboo villas assisted living facility llc,33614,2730
42596,Dan's Fan City,"Dan's Fan City, Inc.",300 Dunbar Ave.,Oldsmar,FL,34677.0,dans fan city,34677,300
42597,Empire Buffet,"Empire Buffet Restaurant, Inc.",5040-A  W. Atlantic Ave,Delray Beach,FL,33484.0,empire buffet,33484,5040-A
42604,Pinch-A-Penny,Crystal Clear Pool Company LLC.,1857 Lakewood Ranch Blvd,Bradenton,FL,34211.0,pinch-a-penny,34211,1857
42622,Comfort Temp,Comfort Temp Company,7050 NW23rd Way,Gainesville,FL,32653.0,comfort temp,32653,7050
42630,"Gargiulo, Inc","Gargiulo, Inc",15000  Old 41 North,Naples,FL,34110.0,gargiulo inc,34110,15000
42631,"Barco, Silvestre FLC","Barco, Silvestre FLC",2761  8th St. Northwest,Naples,FL,34120.0,barco silvestre flc,34120,2761
42643,Sneakers Sports Grille Point Meadows,"Sneakers Sports Grille Point Meadows, Inc",8133 Meadows Point Drive,Jacksonville,FL,32256.0,sneakers sports grille point meadows,32256,8133
42644,Williams Electric Company Inc.,Williams Electric Company Inc.,695 Denton Blvd NW,Fort Walton Beach,FL,32549.0,williams electric company inc,32549,695
42653,City of Jacksonville Parking Enforcement,CIty of Jacksonville Parking Enforcement Div,231 E. Forsyth St. # 424,Jacksonville,FL,32202.0,city of jacksonville parking enforcement,32202,231
42655,"John T. Moor, MD PA","John T. Moor, MD PA",2446 S. Tamiami Trail,Sarasota,FL,34236.0,john t moor md pa,34236,2446
42658,"Superior Cleaning, Inc","Superior Cleaning, Inc","5306 4th Ave, Circle E.",Bradenton,FL,34208.0,superior cleaning inc,34208,5306
