Retail sales of electricity monthly
http://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=g&endsec=vg&linechart=ELEC.SALES.US-ALL.M~ELEC.SALES.US-RES.M~ELEC.SALES.US-COM.M~ELEC.SALES.US-IND.M&columnchart=ELEC.SALES.US-ALL.M~ELEC.SALES.US-RES.M~ELEC.SALES.US-COM.M~ELEC.SALES.US-IND.M&map=ELEC.SALES.US-ALL.M&freq=M&start=200101&end=201412&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
18:21:49 GMT-0700 (PDT)
Source: U.S. Energy Information Administration
Month,United States : all sectors million kilowatthours,United States : residential million kilowatthours,United States : commercial million kilowatthours,United States : industrial million kilowatthours
Oct 2010,287839.79568,96688.03347,108460.80315,82080.65341
Sep 2010,327742.33635,124582.73197,119136.72305,83389.71461
Aug 2010,371769.31409,154053.43099,129166.3266,87927.06843
Jul 2010,369017.71929,154688.71374,127923.96458,85743.80969
Jun 2010,330893.20089,127495.96897,119384.99993,83359.7068
May 2010,283729.2674,94843.00591,106172.1027,82113.9719
Apr 2010,267052.12908,88046.43494,99790.36122,78620.38762
Mar 2010,292511.35075,111789.98549,101751.35586,78319.08909
Feb 2010,298459.72804,122840.19897,100746.97804,74190.72741
Jan 2010,331878.76297,147499.8756,108120.50557,75548.90308
Dec 2009,310291.04959,124013.23123,108477.64119,77114.70448
Nov 2009,268157.85379,93027.97812,98901.26048,75638.71671
Oct 2009,287116.30848,98552.02288,108513.64705,79450.79424
Sep 2009,310563.30622,115163.38169,114900.22901,79863.39097
Aug 2009,344845.1952,138222.67826,123776.73329,82199.24951
Jul 2009,337878.07154,137497.95889,121323.02953,78390.88288
Jun 2009,305520.46993,114395.18493,114832.07907,75680.59193
May 2009,275275.97676,94312.17694,105211.81067,75150.83707
Apr 2009,265463.64608,91631.16242,99804.15979,73415.09341
Mar 2009,283807.82623,106501.36115,102458.09406,74171.16102
Feb 2009,286251.46303,115212.23344,99010.67533,71358.00943
Jan 2009,321623.96705,136228.78303,109643.16445,74983.03633
Dec 2008,308916.12865,125195.49051,107185.88253,75868.67965
Nov 2008,278330.40976,95766.49248,102414.68843,79538.65519
Oct 2008,291762.07434,96110.5902,110849.71329,84164.27206
Sep 2008,321906.21066,117078.13536,118288.84717,85910.35521
Aug 2008,351856.42843,138459.9164,124195.6496,88551.91025
Jul 2008,360426.56763,143179.15198,128072.03466,88526.8087
Jun 2008,328592.49724,121375.87566,119372.96065,87223.7717
May 2008,288276.05761,92245.62751,107473.48707,87963.07225
Apr 2008,277963.41678,92165.89406,101487.44971,83695.60892
Mar 2008,294625.33802,107162.48294,103334.63273,83497.98014
Feb 2008,305094.91897,118553.64589,104396.86107,81484.31279
Jan 2008,326214.57102,133368.44196,109061.27815,83090.75123
Dec 2007,307704.27239,117407.95458,105908.55314,83724.55026
Nov 2007,286299.30566,95904.83059,104603.26135,85118.05351
Oct 2007,307782.64949,103753.92219,114481.20828,88895.8681
Sep 2007,337524.56498,129512.02449,119898.38511,87427.61386
Aug 2007,373364.82394,150101.49426,130474.68013,92115.23385
Jul 2007,352642.31557,139027.02976,123923.08608,89017.33579
Jun 2007,323006.59103,117417.59514,117351.90897,87572.06503
May 2007,292800.25887,96388.85378,108558.89122,87241.06727
Apr 2007,275340.50697,90282.04653,101051.20537,83361.38391
Mar 2007,291660.34841,105694.7597,102640.14808,82582.47097
Feb 2007,301331.31465,121464.24918,100756.42866,78391.79387
Jan 2007,315103.76002,125286.23581,106667.43962,82384.48859
Dec 2006,300119.15674,114881.59882,104672.98538,79937.19578
Nov 2006,277181.9685,94842.85118,101103.66444,80653.08159
Oct 2006,291186.10568,96246.21398,109000.01878,85337.48571
Sep 2006,317282.10014,116072.16359,114230.57436,86364.06714
Aug 2006,368633.76482,150064.42521,127654.72298,90284.79348
Jul 2006,362386.77017,147338.32912,125541.18393,88879.95233
Jun 2006,321839.88968,118815.30772,115785.42304,86629.84604
May 2006,287198.13403,93999.95079,106441.98201,86178.93082
Apr 2006,268208.30457,89374.09543,96551.16055,81696.37621
Mar 2006,289970.2595,104955.19201,101115.44679,83264.00534
Feb 2006,281046.41585,104511.06304,95713.18742,80207.18278
Jan 2006,304865.97033,120418.84511,101933.34533,81864.64879
Dec 2005,307342.67335,120177.22149,103531.01217,82974.33146
Nov 2005,274585.46698,91686.57128,98799.24861,83512.20261
Oct 2005,297626.30857,102685.87866,108474.38377,85856.05478
Sep 2005,330923.38387,126515.63542,116516.874,87256.04557
Aug 2005,362543.68518,146904.77969,124436.15518,90535.92761
Jul 2005,355514.13892,144476.33645,122037.03201,88385.72227
Jun 2005,319380.92267,116627.43754,114100.72922,88032.96775
May 2005,273500.25066,87384.11153,99701.62451,85852.13193
Apr 2005,264167.93607,86749.1599,94439.49428,82389.30273
Mar 2005,286791.11859,104065.20308,98923.67621,83184.68973
Feb 2005,279513.81952,106666.9134,93256.63986,78935.0384
Jan 2005,309078.80863,125287.85857,100862.15018,82241.65015
Dec 2004,300049.8776,113956.43153,101980.20633,83466.54896
Nov 2004,270162.92777,89649.74085,95752.66477,84190.55194
Oct 2004,281736.72461,93466.16898,102325.83477,85345.79182
Sep 2004,308565.83256,112337.69377,109595.29408,86018.95583
Aug 2004,330926.52841,126423.33984,114452.49394,89440.28164
Jul 2004,333907.04358,129305.34718,115495.42265,88479.4439
Jun 2004,307772.35889,112335.13296,108122.25804,86732.2516
May 2004,279035.82591,90598.21162,100879.28578,86988.35388
Apr 2004,262850.98943,85376.86512,93531.82545,83369.26145
Mar 2004,278181.55766,98947.20745,95330.87993,83327.52686
Feb 2004,286433.35172,112464.05547,93677.46255,79667.52545
Jan 2004,307856.46486,127121.38323,99281.10271,80823.03868
Dec 2003,293836.14216,113083.8514,97869.68409,82287.51865
Nov 2003,262976.70136,86658.68148,92604.74302,83163.82929
Oct 2003,277380.21575,89780.85959,100036.26335,86981.71286
Sep 2003,306589.90447,113848.98343,106472.70316,85681.98834
Aug 2003,341819.27853,134467.79929,116224.46136,90536.24056
Jul 2003,334208.69307,130673.85672,115232.9169,87732.30375
Jun 2003,290449.88234,101285.79246,102407.24564,86209.83273
May 2003,268788.0908,87804.37208,95818.83157,84619.16494
Apr 2003,256709.98509,83448.24421,89684.69152,83057.62224
Mar 2003,274473.4193,99561.31168,92579.67309,81758.33458
Feb 2003,282239.57466,110937.36996,91238.91884,79516.56963
Jan 2003,304262.59845,124272.7877,98557.46847,80828.12943
Dec 2002,286462.39615,109266.37941,89053.64535,79455.90389
Nov 2002,263033.58918,88822.30318,86095.43524,79705.57975
Oct 2002,284177.96223,94531.34312,96312.65137,83984.28641
Sep 2002,310497.88323,115833.03265,100808.79734,84346.26466
Aug 2002,338114.51829,134332.46833,105819.30677,88264.59938
Jul 2002,337284.67683,133694.80084,105985.52252,88122.97085
Jun 2002,296469.77249,107169.9945,95903.30254,84386.74446
May 2002,269323.29396,87318.53904,88974.19272,84459.89797
Apr 2002,257946.37508,85407.60661,83619.00093,80750.45469
Mar 2002,267459.80047,95318.66735,83544.91242,80461.22004
Feb 2002,263728.26311,96592.93277,80951.19992,78059.42958
Jan 2002,290967.48001,116891.8012,87428.63989,78240.27931
Dec 2001,268610.91126,96184.05438,85435.92163,78080.75882
Nov 2001,253033.66362,80806.69409,83226.30009,79913.67998
Oct 2001,267558.79557,85419.58912,89377.68751,83144.74635
Sep 2001,295925.25273,105943.19324,96704.45191,82631.49485
Aug 2001,332192.65242,129205.36178,105621.93345,86797.43767
Jul 2001,315798.05444,120707.42753,102156.27207,83175.56383
Jun 2001,290008.13859,99407.29496,95658.29115,85268.86123
May 2001,264490.49166,81731.15295,87470.74429,86096.5808
Apr 2001,254390.93545,82453.7826,81060.53414,82253.07658
Mar 2001,269298.40142,92804.58576,84064.24963,83521.51752
Feb 2001,272334.73804,99877.67304,81466.85778,82248.23193
Jan 2001,310816.0688,127065.78354,90825.27235,83477.36044 
