Month,Usage,logUsage,coal,gas,petrol,elec,INDPRO,DlINDPRO
2008-01-01,83090.75123,11.327688677778344,1.867,8.3175,14.9671,6.33,105.4069,-0.0030189595827803117
2008-02-01,81484.31279,11.308165799597795,1.8742,8.6599,15.4001,6.34,105.054,-0.00335359518792977
2008-03-01,83497.98014,11.332577720606245,1.9133,9.2982,15.2342,6.46,104.7987,-0.002433136442383521
2008-04-01,83695.60892,11.334941792974739,1.9515,9.9365,15.0128,6.64,104.0207,-0.0074514494324668945
2008-05-01,87963.07225,11.38467237186683,2.0244,10.6947,17.5884,6.75,103.4941,-0.0050753115477162325
2008-06-01,87223.7717,11.37623218398391,2.0688,12.0847,18.5929,7.35,103.3216,-0.0016681522727886033
2008-07-01,88526.8087,11.391060708287904,2.085,11.4131,20.4735,7.72,102.7625,-0.005425953498628289
2008-08-01,88551.91025,11.391344215536172,2.1578,8.7402,19.6939,7.55,101.2245,-0.015079678063458779
2008-09-01,85910.35521000001,11.361059650299378,2.1675,7.5933,16.9366,7.31,96.8689,-0.043982304465768784
2008-10-01,84164.27206,11.340525787852433,2.1895,6.5619,15.9607,7.19,97.7617,0.009174366848433202
2008-11-01,79538.65518999999,11.283998411276533,2.146,6.4719,12.0001,6.93,96.5572,-0.012397305943116166
2008-12-01,75868.67965,11.236759225386438,2.1379,6.7064,8.613,6.79,93.7183,-0.029842104517119772
2009-01-01,74983.03632999999,11.225017184668713,2.2073,6.4407,8.0966,6.92,91.5058,-0.023891116086536712
2009-02-01,71358.00942999999,11.175464872105856,2.2497,5.4807,8.0399,6.9,90.934,-0.00626838959806264
2009-03-01,74171.16102,11.214130688106808,2.2746,4.7999,8.3465,6.81,89.5012,-0.01588193564046758
2009-04-01,73415.09341,11.203884825752015,2.2057,4.5772,9.1957,6.75,88.7058,-0.008926756882862819
2009-05-01,75150.83707000001,11.227252533775108,2.2182,4.5832,9.3652,6.77,87.7758,-0.010539439903854309
2009-06-01,75680.59193,11.234277025180374,2.2017,4.5092,10.5832,7.09,87.4125,-0.004147543195451853
2009-07-01,78390.88287999999,11.269462909780398,2.1775,4.3551,11.4048,7.1,88.3209,0.010338479664270928
2009-08-01,82199.24951000001,11.31690145095393,2.1951,4.1952,12.2766,7.1,89.2996,0.011020235894850572
2009-09-01,79863.39097000001,11.288072841148258,2.1684,3.925,13.5643,6.89,89.9908,0.007710434293888291
2009-10-01,79450.79424,11.282893168642397,2.1564,4.9312,12.9554,6.7,90.2527,0.0029060707800008245
2009-11-01,75638.71671000001,11.233723556869617,2.1187,4.9518,12.8908,6.4,90.6331,0.004205974828095371
2009-12-01,77114.70448,11.253049260951707,2.128,6.1063,13.3515,6.54,90.8895,0.002824994469214026
2010-01-01,75548.90307999999,11.232535448469076,2.2112,6.8294,13.4732,6.5,91.9065,0.011127272953473266
2010-02-01,74190.72741,11.214394453826165,2.2527,6.1428,13.7764,6.55,92.2135,0.003334784754581932
2010-03-01,78319.08909,11.268546646518779,2.2994,5.3606,13.9926,6.53,92.8133,0.006483407820129905
2010-04-01,78620.38762000001,11.272386329261332,2.2812,4.8003,14.9929,6.55,93.1984,0.004140605673719655
2010-05-01,82113.9719,11.315863462447286,2.2511,4.8527,13.8697,6.64,94.6492,0.015446871265114126
2010-06-01,83359.7068,11.330920339706536,2.2328,5.1951,13.3631,6.97,94.8328,0.0019379155535554915
2010-07-01,85743.80969,11.359119172218266,2.2573,5.2251,13.3799,7.23,95.2539,0.004430617069601794
2010-08-01,87927.06843,11.384262982001502,2.2864,4.9464,13.3472,7.22,95.6092,0.003723091686273605
2010-09-01,83389.71461,11.331280254722374,2.2616,4.5061,13.4634,7.0,95.8794,0.002822101987570491
2010-10-01,82080.65341,11.315457621021059,2.2543,4.3511,15.0988,6.8,95.6362,-0.0025397422531208136
2010-11-01,79613.8808,11.284943738539264,2.2429,4.4541,15.9062,6.56,95.7002,0.0006689788496787585
2010-12-01,80313.27653999999,11.293690223005477,2.2171,5.5605,16.7445,6.6,96.4959,0.00828013207482492
2011-01-01,80092.87514,11.290942179537158,2.3091,5.5464,17.0894,6.53,96.4283,-0.0007007933972680291
2011-02-01,76361.23172000001,11.243230408144372,2.3362,5.1833,18.3616,6.63,96.0111,-0.004335917214659091
2011-03-01,82209.08469,11.317021094280525,2.326,4.7397,19.7766,6.53,96.8407,0.008603550677960925
2011-04-01,80367.2619,11.29436218194407,2.3616,4.936,20.5511,6.53,96.4337,-0.004211634873622749
2011-05-01,82060.54846,11.315212649619955,2.4153,4.9459,19.4162,6.68,96.6227,0.001957977672643274
2011-06-01,83911.56382000001,11.337518711563291,2.3828,5.1028,21.6988,7.14,96.8573,0.002425058041882089
2011-07-01,87247.10363,11.376499643295903,2.4276,5.018,21.6095,7.32,97.3169,0.004733902426751868
2011-08-01,88987.35194,11.396249525581554,2.4521,4.7534,19.7087,7.39,97.7956,0.00490692252425351
2011-09-01,84942.79578,11.349733318088946,2.4225,4.6134,21.221,7.15,97.7474,-0.0004929862073934643
2011-10-01,84281.7274,11.341920363673914,2.3741,4.3944,21.3172,6.77,98.4096,0.006751760228798531
2011-11-01,80872.4358,11.300628325581863,2.3518,4.1767,21.4573,6.53,98.281,-0.0013076376636664833
2011-12-01,79981.58371,11.289551683530098,2.3252,4.0961,22.0436,6.51,98.6739,0.003989751168266942
2012-01-01,79204.65598,11.279790363700855,2.3596,3.7426,21.9277,6.44,99.3787,0.007117331206123012
2012-02-01,78298.27378999999,11.26828083563115,2.3731,3.3919,22.465999999999998,6.45,99.6578,0.00280451256863401
2012-03-01,81298.24301,11.305879684109264,2.3818,3.0241,23.1339,6.46,98.9579,-0.007047810390572451
2012-04-01,81029.67494,11.302570723846083,2.4076,2.7447,24.0016,6.38,99.8396,0.008870391038994896
2012-05-01,84677.64946,11.346606966951404,2.4035,2.9832,23.4212,6.53,100.0042,0.0016472869032808646
